Line Item Id,Live or Test,Payment Id,Purchases ID,Sales ID,Payment method,Created Date,Payment Status,Failure reason,Sales state,Refund ID,Refund reason,Refund state,Total,Description,Email,First name,Last name,Phone,Item name,Quantity,Special instructions,Tx state reason code,Unit price,Update on next display,Update time,Valid from,Modified by
25,FlurryLive,PAY-XXX,4,XXX,INSTANT_TRANSFER,8/10/2017,approved,,refunded,XXX,,completed,98.75,2018 Flurry Ticket Purchase,XXXX,Arlene,Alberto,XXXX,"FULL FESTIVAL Adult, Non-refundable",1,,,95,,,1/16/2018,Query PayPal
26,FlurryLive,PAY-XXX,4,XXX,INSTANT_TRANSFER,8/10/2017,approved,,refunded,XXX,,completed,98.75,2018 Flurry Ticket Purchase,XXXX,Bret,Alex,XXXX,Service Fee,1,,,3.75,,,1/16/2018,Query PayPal
55,FlurryLive,PAY-XXX,20,XXX,INSTANT_TRANSFER,9/29/2017,approved,,refunded,XXX,,completed,37.75,2018 Flurry Ticket Purchase,XXXX,Cindy,Ana,XXXX,"ALL SUNDAY Adult, Non-refundable",1,XXXX,,34,FALSE,,1/16/2018,Query PayPal
56,FlurryLive,PAY-XXX,20,XXX,INSTANT_TRANSFER,9/29/2017,approved,,refunded,XXX,,completed,37.75,2018 Flurry Ticket Purchase,XXXX,Don,Andrea,XXXX,Service Fee,1,XXXX,,3.75,FALSE,,1/16/2018,Query PayPal
57,FlurryLive,PAY-XXX,21,XXX,INSTANT_TRANSFER,9/29/2017,approved,,refunded,XXX,,completed,42.75,2018 Flurry Ticket Purchase,XXXX,Emily,Arlene,XXXX,"SATURDAY NIGHT Adult, Non-refundable",1,XXXX,,39,FALSE,,1/16/2018,Query PayPal
58,FlurryLive,PAY-XXX,21,XXX,INSTANT_TRANSFER,9/29/2017,approved,,refunded,XXX,,completed,42.75,2018 Flurry Ticket Purchase,XXXX,Franklin,Arthur,XXXX,Service Fee,1,XXXX,,3.75,FALSE,,1/16/2018,Query PayPal
59,FlurryLive,PAY-XXX,22,XXX,INSTANT_TRANSFER,10/10/2017,approved,,refunded,XXX,,completed,106.75,2018 Flurry Tickets Purchase,XXXX,Gert,Barry,XXXX,"FULL FESTIVAL Senior, Non-refundable",1,XXXX,,85,FALSE,,1/16/2018,Query PayPal
60,FlurryLive,PAY-XXX,22,XXX,INSTANT_TRANSFER,10/10/2017,approved,,refunded,XXX,,completed,106.75,2018 Flurry Tickets Purchase,XXXX,Harvey,Bertha,XXXX,"FRIDAY NIGHT Senior, Non-refundable",1,XXXX,,17,FALSE,,1/16/2018,Query PayPal
61,FlurryLive,PAY-XXX,22,XXX,INSTANT_TRANSFER,10/10/2017,approved,,refunded,XXX,,completed,106.75,2018 Flurry Tickets Purchase,XXXX,Irma,Beryl,XXXX,Friend of the Flurry Voluntary Donation,1,XXXX,,1,FALSE,,1/16/2018,Query PayPal
62,FlurryLive,PAY-XXX,22,XXX,INSTANT_TRANSFER,10/10/2017,approved,,refunded,XXX,,completed,106.75,2018 Flurry Tickets Purchase,XXXX,Jose,Bill,XXXX,Service Fee,1,XXXX,,3.75,FALSE,,1/16/2018,Query PayPal
63,FlurryLive,PAY-XXX,23,XXX,INSTANT_TRANSFER,10/12/2017,approved,,completed,,,,53.75,2018 Flurry Ticket Purchase,XXXX,Katia,Bonnie,XXXX,"FULL FESTIVAL Teen,&nbsp;Non-refundable",1,,,50,FALSE,,1/16/2018,Query PayPal
64,FlurryLive,PAY-XXX,23,XXX,INSTANT_TRANSFER,10/12/2017,approved,,completed,,,,53.75,2018 Flurry Ticket Purchase,XXXX,Lee,Bret,XXXX,Service Fee,1,,,3.75,FALSE,,1/16/2018,Query PayPal
65,FlurryLive,PAY-XXX,24,XXX,INSTANT_TRANSFER,10/12/2017,approved,,completed,,,,53.75,2018 Flurry Ticket Purchase,XXXX,Maria,Chantal,XXXX,"FULL FESTIVAL Teen,&nbsp;Non-refundable",1,,,50,FALSE,,1/16/2018,Query PayPal
