Payment Id,Created Date,Payment Status,Total,Sales state,Details Summary
PAY-XXX,2/9/2018,created,0,,<strong>Incomplete or refunded transaction. $103.75</strong><br/><br/>1 FULL FESTIVAL Senior
PAY-XXX,2/9/2018,approved,116.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Bret Alex<br/>1 ALL SATURDAY Teen<br/>1 ALL SATURDAY DFO Member<br/>1 DFO Individual/Limited Income Membership Dues
PAY-XXX,2/9/2018,approved,199.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Cindy Ana<br/>1 FULL FESTIVAL Adult<br/>1 ALL SATURDAY Student<br/>1 ALL SUNDAY Student
PAY-XXX,2/9/2018,approved,42.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Don Andrea<br/>1 ALL SUNDAY Adult
PAY-XXX,2/9/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Emily Arlene<br/>1 FULL FESTIVAL Senior
PAY-XXX,2/9/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Franklin Arthur<br/>1 FULL FESTIVAL Student
PAY-XXX,2/9/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Gert Barry<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/9/2018,approved,69.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Harvey Bertha<br/>2 SATURDAY DAY Senior
PAY-XXX,2/9/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Irma Beryl<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/9/2018,created,0,,<strong>Incomplete or refunded transaction. $69.75</strong><br/><br/>2 SATURDAY DAY Senior
PAY-XXX,2/8/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Katia Bonnie<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/8/2018,approved,213.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Lee Bret<br/>1 FULL FESTIVAL Adult<br/>1 FULL FESTIVAL Senior
PAY-XXX,2/8/2018,approved,123.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Maria Chantal<br/>1 FULL FESTIVAL Adult<br/>1 Friend of the Flurry Voluntary Donation
PAY-XXX,2/8/2018,created,0,,<strong>Incomplete or refunded transaction. $13.75</strong><br/><br/>1 Friend of the Flurry Voluntary Donation
PAY-XXX,2/8/2018,failed,0,,<strong>Incomplete or refunded transaction. $123.75</strong><br/>Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Ophelia Cindy<br/>1 FULL FESTIVAL Adult<br/>1 Friend of the Flurry Voluntary Donation
PAY-XXX,2/8/2018,created,0,,<strong>Incomplete or refunded transaction. $13.75</strong><br/><br/>1 Friend of the Flurry Voluntary Donation
PAY-XXX,2/8/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Rina Colin<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/8/2018,created,0,,<strong>Incomplete or refunded transaction. $113.75</strong><br/><br/>1 FULL FESTIVAL Adult
PAY-XXX,2/8/2018,approved,70.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Tammy Danielle<br/>1 ALL SUNDAY Adult<br/>1 ALL SUNDAY Senior
PAY-XXX,2/8/2018,approved,68.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Vince Danny<br/>1 FULL FESTIVAL Teen
PAY-XXX,2/8/2018,created,0,,<strong>Incomplete or refunded transaction. $103.75</strong><br/><br/>1 FULL FESTIVAL Student
PAY-XXX,2/7/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Alberto Dolly<br/>1 FULL FESTIVAL Senior
PAY-XXX,2/7/2018,approved,128.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Beryl Don<br/>1 FULL FESTIVAL DFO Member<br/>1 DFO Individual Membership Dues
PAY-XXX,2/7/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Chris Dorian<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/7/2018,approved,223.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Debby Earl<br/>2 FULL FESTIVAL Adult
PAY-XXX,2/7/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Ernesto Edouard<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/7/2018,created,0,,<strong>Incomplete or refunded transaction. $113.75</strong><br/><br/>1 FULL FESTIVAL Adult
PAY-XXX,2/7/2018,approved,13.75,UPDATED,"Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Gordon Emily<br/>Special Instructions: Names of other people authorized to pick up tickets, etc.<br/>1 Friend of the Flurry Voluntary Donation"
PAY-XXX,2/7/2018,approved,81.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Helene Erin<br/>1 SATURDAY DAY Adult<br/>1 SATURDAY DAY Teen<br/>3 SATURDAY DAY Child
PAY-XXX,2/7/2018,created,0,,<strong>Incomplete or refunded transaction. $81.75</strong><br/><br/>1 SATURDAY DAY Adult<br/>1 SATURDAY DAY Teen<br/>3 SATURDAY DAY Child
PAY-XXX,2/7/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Joyce Fay<br/>1 FULL FESTIVAL Student
PAY-XXX,2/7/2018,approved,25.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Kirk Fernand<br/>1 FRIDAY NIGHT Student
PaperTicket,2/7/2018,,93,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Leslie Fiona<br/>1 FRIDAY NIGHT DFO Member<br/>1 SATURDAY DAY DFO Member<br/>1 ALL SUNDAY DFO Member<br/>1 DFO Individual Membership Dues
PAY-XXX,2/7/2018,approved,258.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Michael Florence<br/>1 FULL FESTIVAL Adult<br/>2 FULL FESTIVAL Teen<br/>1 Friend of the Flurry Voluntary Donation
PAY-XXX,2/7/2018,created,0,,<strong>Incomplete or refunded transaction. $243.75</strong><br/><br/>1 FULL FESTIVAL Adult<br/>2 FULL FESTIVAL Teen
PAY-XXX,2/7/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Oscar Fred<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/6/2018,approved,125.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Patty Gabrielle<br/>2 SATURDAY DAY Senior<br/>2 ALL SUNDAY Senior
PAY-XXX,2/5/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Rafael Gaston<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/5/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Sara Gert<br/>1 FULL FESTIVAL Senior
PAY-XXX,2/5/2018,approved,135.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Tony Gonzalo<br/>1 FULL FESTIVAL DFO Member<br/>1 DFO Individual Membership Dues<br/>1 Friend of the Flurry Voluntary Donation
PAY-XXX,2/5/2018,approved,248.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Valerie Gordon<br/>2 FULL FESTIVAL DFO Member<br/>1 DFO Couple/Family Membership Dues
PAY-XXX,2/5/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  William Grace<br/>1 FULL FESTIVAL Student
PAY-XXX,2/5/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Andrea Hanna<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/5/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Barry Harvey<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/4/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Chantal Helene<br/>1 FULL FESTIVAL Student
PAY-XXX,2/4/2018,approved,256.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Dorian Henri<br/>2 FRIDAY NIGHT Adult<br/>1 FRIDAY NIGHT Teen<br/>2 FRIDAY NIGHT Child<br/>1 SATURDAY NIGHT Adult<br/>1 ALL SATURDAY Adult<br/>1 ALL SATURDAY Teen<br/>2 ALL SATURDAY Child
PAY-XXX,2/4/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Erin Hermine<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/4/2018,approved,203.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Fernand Humberto<br/>1 FULL FESTIVAL Senior<br/>1 Friend of the Flurry Voluntary Donation
PAY-XXX,2/4/2018,approved,223.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Gabrielle Ian<br/>2 FULL FESTIVAL Adult
PAY-XXX,2/4/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Humberto Ida<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/4/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Imelda Imelda<br/>1 FULL FESTIVAL Senior
PAY-XXX,2/3/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Jerry Irma<br/>1 FULL FESTIVAL Senior
PAY-XXX,2/3/2018,created,0,,<strong>Incomplete or refunded transaction. $103.75</strong><br/><br/>1 FULL FESTIVAL Senior
PAY-XXX,2/3/2018,created,0,,<strong>Incomplete or refunded transaction. $223.75</strong><br/><br/>2 FULL FESTIVAL Adult
PAY-XXX,2/3/2018,approved,223.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Melissa Jerry<br/>2 FULL FESTIVAL Adult
PAY-XXX,2/3/2018,created,0,,<strong>Incomplete or refunded transaction. $223.75</strong><br/><br/>2 FULL FESTIVAL Adult
PAY-XXX,2/3/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Olga Josephine<br/>1 FULL FESTIVAL Senior
PAY-XXX,2/2/2018,created,0,,<strong>Incomplete or refunded transaction. $113.75</strong><br/><br/>1 FULL FESTIVAL Adult
PAY-XXX,2/2/2018,created,0,,<strong>Incomplete or refunded transaction. $113.75</strong><br/><br/>1 FULL FESTIVAL Adult
PAY-XXX,2/2/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Sebastien Julian<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/2/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Tanya Karen<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/1/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Van Karl<br/>1 FULL FESTIVAL Adult
PAY-XXX,2/1/2018,approved,213.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Wendy Kate<br/>1 FULL FESTIVAL Adult<br/>1 FULL FESTIVAL Senior
PAY-XXX,2/1/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Arthur Katia<br/>1 FULL FESTIVAL Senior
PaperTicket,2/1/2018,,157,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Bertha Kirk<br/>4 SATURDAY NIGHT DFO Member<br/>1 DFO Couple/Family Membership Dues
PaperTicket,2/1/2018,,170,completed,"Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Cristobal Kyle<br/>Special Instructions: Names of other people authorized to pick up tickets, etc.<br/>2 FULL FESTIVAL Senior"
PaperTicket,2/1/2018,,170,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Dolly Larry<br/>2 FULL FESTIVAL Senior
PAY-XXX,1/31/2018,approved,83.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Edouard Laura<br/>1 FRIDAY NIGHT Student<br/>1 ALL SATURDAY Student
PAY-XXX,1/31/2018,approved,138.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Fay Lee<br/>1 FULL FESTIVAL Adult<br/>1 Friend of the Flurry Voluntary Donation
PaperTicket,1/29/2018,,95,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Gonzalo Leslie<br/>1 FULL FESTIVAL Adult
PAY-XXX,1/29/2018,approved,223.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Hanna Lisa<br/>2 FULL FESTIVAL Adult
PAY-XXX,1/29/2018,approved,43.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Isaias Lorenzo<br/>1 ALL SATURDAY Teen
PAY-XXX,1/29/2018,approved,239.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Josephine Marco<br/>2 FULL FESTIVAL Adult<br/>2 FULL FESTIVAL Child
PAY-XXX,1/29/2018,approved,103.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Kyle Maria<br/>1 FULL FESTIVAL Senior
PAY-XXX,1/29/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Laura Martin<br/>1 FULL FESTIVAL Adult
PAY-XXX,1/29/2018,approved,113.75,completed,Purchaser email:  mailbox@domain.com<br/>Purchaser Name:  Marco Melissa<br/>1 FULL FESTIVAL Adult
